"Comune";"Provincia";"Regione";"Nome";"Anno inserimento";"Data e ora inserimento";"Identificatore in OpenStreetMap";"Longitudine";"Latitudine";
"Collegno";"TORINO";"Piemonte";"Fermi";"2015";"2015-10-03T19:51:15Z";"1481306354";"7.5909512";"45.075949";
"Collegno";"TORINO";"Piemonte";"Fermi";"2015";"2015-10-03T19:51:15Z";"1481306366";"7.5910529";"45.0761702";
"Collegno";"TORINO";"Piemonte";"Fermi";"2015";"2015-10-03T19:51:15Z";"3431311424";"7.5913719";"45.0760841";
"Collegno";"TORINO";"Piemonte";"Paradiso";"2015";"2015-10-03T19:51:19Z";"1484955760";"7.6018758";"45.0735845999999";
"Collegno";"TORINO";"Piemonte";"Paradiso";"2015";"2015-10-03T19:51:19Z";"1484955761";"7.6019496";"45.0740707";
"Collegno";"TORINO";"Piemonte";"Paradiso";"2015";"2015-10-03T19:51:19Z";"1484955762";"7.6021194";"45.0741057999999";
"Torino";"TORINO";"Piemonte";"Bernini";"2015";"2015-10-03T19:51:14Z";"442641053";"7.6553078";"45.0763115999999";
"Torino";"TORINO";"Piemonte";"Bernini";"2015";"2015-10-03T19:51:14Z";"442641055";"7.6554737";"45.0756796";
"Torino";"TORINO";"Piemonte";"Bernini";"2015";"2015-10-03T19:51:14Z";"957923325";"7.6551839";"45.0760976999999";
"Torino";"TORINO";"Piemonte";"Carducci";"2015";"2015-10-03T19:51:14Z";"1621378600";"7.6715159";"45.0420901";
"Torino";"TORINO";"Piemonte";"Carducci";"2015";"2015-10-03T19:51:14Z";"2617655139";"7.6705983";"45.0422652";
"Torino";"TORINO";"Piemonte";"Carducci-Molinette";"2015";"2015-10-03T19:51:14Z";"1621378601";"7.6716037";"45.0422805999999";
"Torino";"TORINO";"Piemonte";"Carducci-Molinette";"2015";"2015-10-03T19:51:14Z";"1621378602";"7.6706847";"45.0424632";
"Torino";"TORINO";"Piemonte";"Dante";"2015";"2015-10-03T19:51:14Z";"1213993997";"7.6731006";"45.0469440999999";
"Torino";"TORINO";"Piemonte";"Dante";"2015";"2015-10-03T19:51:15Z";"1213994014";"7.6731669";"45.0471867999999";
"Torino";"TORINO";"Piemonte";"Dante";"2015";"2015-10-03T19:51:15Z";"1213994125";"7.672843";"45.0472536999999";
"Torino";"TORINO";"Piemonte";"Lingotto";"2015";"2015-10-03T19:51:15Z";"1213993797";"7.6666754";"45.0313384";
"Torino";"TORINO";"Piemonte";"Lingotto";"2015";"2015-10-03T19:51:15Z";"1213993844";"7.6669777";"45.0310483";
"Torino";"TORINO";"Piemonte";"Lingotto";"2015";"2015-10-03T19:51:15Z";"1213993854";"7.6665227";"45.031075";
"Torino";"TORINO";"Piemonte";"Marche";"2015";"2015-10-03T19:51:17Z";"1484955755";"7.6143549";"45.0740328999999";
"Torino";"TORINO";"Piemonte";"Marche";"2015";"2015-10-03T19:51:17Z";"1484955756";"7.6141769";"45.0745508999999";
"Torino";"TORINO";"Piemonte";"Marche";"2015";"2015-10-03T19:51:17Z";"1484955757";"7.6142214";"45.0746763";
"Torino";"TORINO";"Piemonte";"Marconi";"2015";"2015-10-03T19:51:17Z";"1622042886";"7.6773047";"45.0572086999999";
"Torino";"TORINO";"Piemonte";"Marconi";"2015";"2015-10-03T19:51:17Z";"3283904468";"7.6771526";"45.0572955";
"Torino";"TORINO";"Piemonte";"Marconi";"2015";"2015-10-03T19:51:18Z";"1622042919";"7.6769231";"45.0575905999999";
"Torino";"TORINO";"Piemonte";"Massaua";"2015";"2015-10-03T19:51:18Z";"1484955758";"7.6203872";"45.0743579";
"Torino";"TORINO";"Piemonte";"Massaua";"2015";"2015-10-03T19:51:18Z";"429724253";"7.620265";"45.0748976";
"Torino";"TORINO";"Piemonte";"Massaua";"2015";"2015-10-03T19:51:18Z";"946525620";"7.6203139";"45.0742357999999";
"Torino";"TORINO";"Piemonte";"Monte Grappa";"2015";"2015-10-03T19:51:18Z";"1484955759";"7.6361952";"45.0751212999999";
"Torino";"TORINO";"Piemonte";"Monte Grappa";"2015";"2015-10-03T19:51:18Z";"429724255";"7.6361567";"45.0753974";
"Torino";"TORINO";"Piemonte";"Monte Grappa";"2015";"2015-10-03T19:51:18Z";"430167591";"7.6360192";"45.0751241999999";
"Torino";"TORINO";"Piemonte";"Nizza";"2015";"2015-10-03T19:51:18Z";"3431326297";"7.6749617";"45.0516603";
"Torino";"TORINO";"Piemonte";"Nizza";"2015";"2015-10-03T19:51:19Z";"3253332072";"7.6750001";"45.0518496999999";
"Torino";"TORINO";"Piemonte";"Nizza";"2015";"2015-10-03T19:51:19Z";"3253332073";"7.6746147";"45.0519181";
"Torino";"TORINO";"Piemonte";"Porta Nuova FS";"2015";"2015-10-03T19:51:19Z";"1262284345";"7.6791748";"45.0629889";
"Torino";"TORINO";"Piemonte";"Porta Nuova FS";"2015";"2015-10-03T19:51:19Z";"1262284353";"7.6795062";"45.0629639";
"Torino";"TORINO";"Piemonte";"Porta Nuova FS";"2015";"2015-10-03T19:51:19Z";"3431326298";"7.6786792";"45.0623767";
